Id,OrderAt,StoreId,UserId
7b5e885d-4eec-4d46-95b9-a27aa51f54d9,2021-05-06 19:43:57,c4c7444e-1ac9-434a-86e9-9359521c360f,fc438d79-f937-4d9c-9a38-9fd1a0deb4d8
bdb36d14-3e72-4417-a4ad-61bd069b378b,2020-06-14 23:13:05,3fc04a66-e562-4454-870f-bf94ef88316e,605e2d7e-fc57-42c2-a12d-b336c70a1fc0
e01ca815-880e-4543-8eea-402507ab7d1b,2022-02-04 17:24:57,19b6473a-ceb8-4e7c-ba2f-b1ed2ab98993,f5869316-cba3-4c34-99ef-0c0e13ec1e63
62a141ce-e350-42eb-9d96-3b8ce74bd59e,2022-01-02 07:23:01,7585faec-a745-4ebd-8dd2-e60238a8244c,e3781367-f5cb-4622-b52f-4994028f126d
4507475c-b234-4d81-8611-8f9d93e55ea0,2021-06-09 11:44:27,770422d4-644f-4634-8022-ee44ee546933,7774ac6a-59dc-4e66-8b7e-8c635abc3b1c
067dab27-74a9-42be-b412-1d0b8617fede,2020-03-11 13:08:11,f4647b6d-cd45-46a4-ba57-59fcdc9b8e3a,879ea6da-68f7-4726-920e-f989c2a7a2e6
86c5e745-1b33-47e6-9967-e6e0b405d5a6,2022-12-09 01:57:58,1c2714d6-a72e-44f8-8c1c-2ac3e7025cb7,600dac0d-f0cd-48ba-a265-f402850f9ab9
56fdaff5-1ce0-45a0-90cf-042e3f19bd0d,2022-10-09 23:53:27,0ab96a8a-7310-42b5-a713-a5c28cef1143,5efc724c-f903-48a6-93e2-9b179c8e1d9d
44390837-a365-4333-9428-f66773288dbe,2023-05-16 12:06:56,d0878cdd-65e7-4be0-96f4-703937893c5e,879ea6da-68f7-4726-920e-f989c2a7a2e6
ea054433-ff99-4957-b3fd-f5e4ec28f042,2023-02-10 12:06:23,507547bf-9ea6-4d8d-a22f-1115a4d50154,6592ef4b-14e5-439e-a19d-bf6fd4ca580d
84fc648d-e533-4f40-8923-7a3086259898,2023-02-19 16:29:14,14edc0e9-a2ac-4ef6-bbae-9012abaeca20,fa8d8906-882e-43a2-ab4b-8716e9342705
c64cbfaa-285a-40b4-9afd-51262217a352,2022-11-06 15:19:15,eb03ee81-b824-48b2-8aa1-57c1590c09a4,0b4bf9a7-903e-4742-b97a-b3a39ac4f547
1373f946-beec-4b44-87c3-dba20e3bf071,2020-05-26 01:49:40,3b75d2d3-cd5d-4ded-8284-0660467a6439,e3781367-f5cb-4622-b52f-4994028f126d
cf1c5048-0d79-4d38-994a-31b1a7e4cf9e,2022-04-28 02:34:07,30dcc79a-1281-42ac-b91c-cc45433b0dd0,2e28e9ae-ddf4-4e9e-8b53-8fcfb3588e8b
ac41386a-6707-4df3-bc80-58024d1e1f02,2020-01-03 19:59:35,19b6473a-ceb8-4e7c-ba2f-b1ed2ab98993,59c8163b-7838-498e-933b-e6f7a160fe34
c6704428-0ba3-4fc7-af16-d56d6881f99e,2022-10-02 23:36:01,ee80d5ef-997a-4617-a121-04815bb25c88,c2643b4c-1b56-4e7e-95b4-07932a8f33e7
9549ba11-a071-456f-b6bc-88613d17aa78,2021-06-18 23:19:57,f3cffd3a-f97f-4bae-a058-632422aa7f1c,eacde318-6dc2-428f-8574-d40205e94ebd
f0f84704-ee6a-403d-9ee8-76c788765eda,2021-08-31 21:24:09,a1582cbc-8dca-4529-8b3f-3757142c72c0,e690dcf0-4ade-402d-9180-c00df3bf59ca
dc9af52b-2724-46df-9b94-5fcc976fdcb5,2023-11-08 20:33:19,373c8328-e1a5-4d88-aca2-23bc8def9d57,4ecc92c2-99fc-453e-ba70-fb0e3ae311ad
7eea535a-a9c2-42b6-8367-d7c1f2d4a827,2021-07-14 11:37:07,e2a8947b-237a-4487-90c1-3f97f5c1e95d,5a8bf03e-01f2-40f8-ae54-55fd27ed9025
5e129353-9589-4600-b636-cb0fe0e2c401,2020-08-16 01:15:49,96847ef6-753f-46fa-b469-7edc6ee27825,20655508-7eda-4835-8414-d65c938b8edd
b732019b-3f71-455d-a68d-1a4d532794ed,2021-06-01 14:11:36,119cf554-d934-4ea2-9463-f059bed13fa3,d21452c2-b856-4c21-8e6e-02c05402f8cf
76b530a9-8f9c-4e9a-a096-886f8e3e3146,2023-09-04 09:57:57,0902a0a4-4ced-4110-8b67-8a09adad5a41,43bf042c-4c27-4426-aff8-05f010fdad01
