Id,Name,Type,UnitPrice
4600412e-cf49-4a4c-82b4-4bea76b8fa7e,감자튀김,Side dish,2200
16582a87-81c5-4bb8-afe8-4aa3330be9ad,스낵랩,Side dish,3000
a42f1c77-2b10-4312-a62b-a6f5c3471d8f,빅맥,Burger,5500
f2bd7086-cd7e-42db-971d-fb98f8f66c0c,쿼터파운더 치즈,Burger,5500
340f395e-4698-4bf0-9b3f-b223fe11aaad,치즈버거,Burger,3400
073352c1-95ba-4a14-a666-2e0ea308d6df,케이준 양념 감자,Side dish,3500
252a5ff3-70a1-40c1-b3d0-e79a882cf569,지파이,Side dish,4300
8fc88cf9-3f46-45d4-85bf-965177d56365,지파이,Side dish,4300
3bec10e8-c04d-4e4c-b7a3-c4f2a0abb9da,스파이시 이탈리안,Sub,6300
4857ff29-48b8-4961-957f-9e51731d145e,닥터페퍼,Beverage,2000
59db5ccf-437d-42b7-9ab8-ef915b0f18f7,스낵랩,Side dish,3000
43ce075e-95aa-47f7-af79-a4f70f6239d1,스파이시 이탈리안,Sub,6300
c8e491fc-4841-4f55-9d7a-02767b018b15,닥터페퍼,Beverage,2000
c24f5b0e-6f7d-4e19-8638-eabb15e310db,펩시 제로,Beverage,1800
104c810d-9e0c-4013-a384-3249d5431fe1,치킨너겟,Side dish,2600
8fa559d6-1e20-4ad8-8739-6d33be7da773,닥터페퍼,Beverage,2000
1550be0c-1ec4-449c-9257-f17c68be391f,싸이버거,Burger,4600
f48e557d-15c0-41ed-9064-05e32c1897a5,케이준 양념 감자,Side dish,3500
9a8a1440-8873-409d-b910-fa2413ea7de5,치킨너겟,Side dish,2600
96e2a34a-8ab2-4b14-aeb2-4534b9082bba,펩시 제로,Beverage,1800
