Id,Name,Type,Address
8355d1ad-e436-4c5d-97a5-93dc1b9cc016,프랭크버거 경희대점,프랭크버거,서울 동대문구 79로 22
3ba7c79c-7c27-4b20-8a83-849becdebf02,서브웨이 서래마을점,서브웨이,서울 서초구 37길 57
71863f9e-66d9-488e-91ac-6a205a213011,KFC 신림점,KFC,서울 관악구 54길 93
7d485b94-dd75-48bc-a812-4f114044da6f,버거킹 고려대점,버거킹,서울 성북구 44길 42
e7c77c8d-9206-4ede-8439-6d271fe750d1,프랭크버거 삼양솔샘점,프랭크버거,서울 강북구 69로 33
6c934279-43f7-477d-89fe-6e264dfbd475,맘스터치 미아역점,맘스터치,서울 강북구 47길 16
a4b9e00e-fc8d-46bd-b5cb-b4dfee8f0f7d,KFC 마포구청점,KFC,서울 마포구 89길 78
08ff3be3-b102-45b5-8472-58b9f9c615b4,맘스터치 구로NC점,맘스터치,서울 구로구 57길 49
e2985f01-f0bb-401e-8143-54e101d45f60,노브랜드버거 금천시흥사거리점,노브랜드버거,서울 금천구 96로 39
eb999a07-bf55-4505-9547-46cfa6b43286,맥도날드 강북점,맥도날드,서울 강북구 89길 17
b14ad3eb-f83c-4b68-a876-e6ec739b437e,KFC 공덕역롯데캐슬점,KFC,서울 마포구 54로 17
a6daeee8-a5bf-4abe-ba93-38e163969b17,롯데리아 방학역점,롯데리아,서울 도봉구 29길 90
4f47c1bd-d021-4a90-a960-d61d06203ee1,롯데리아 서초교대점,롯데리아,서울 서초구 20로 95
28f1f074-fe8e-41c9-a208-a0344cbcd777,버거킹 목동2호점,버거킹,서울 양천구 83길 56
16464d78-f482-4ca0-a4fe-c6e26e8d2e6a,노브랜드버거 건대스타시티점,노브랜드버거,서울 광진구 14로 64
f45c1b68-f8ec-4794-9419-c2006fd6ccc9,맘스터치 서래마을점,맘스터치,서울 서초구 35로 2
4b65ea93-6fb8-4742-811a-d54c615a06d0,롯데리아 독산점,롯데리아,서울 금천구 80로 77
9f8ecd25-203e-4c01-a3f7-e83eaeb8c5da,노브랜드버거 남영역점,노브랜드버거,서울 용산구 86길 86
f879e21b-3da1-4121-9950-df5c68f3922d,맘스터치 가재울점,맘스터치,서울 서대문구 16길 10
1b42cc8b-810e-434e-9818-5e53ab0057b9,서브웨이 가락쌍용점,서브웨이,서울 송파구 96길 97
3023c44e-d423-4cba-8e0e-a2b442e3e183,롯데리아 강동강일점,롯데리아,서울 강동구 78로 57
3fd2c0cb-520b-42f4-ae84-400144a58c43,롯데리아 강서방화사거리점,롯데리아,서울 강서구 5로 53
999c2683-98df-4060-aeda-8b279e9bd7d2,롯데리아 고대타이거플라자점,롯데리아,서울 성북구 100길 40
9667e1c8-5fb9-4832-aa58-5621792e1d00,버거킹 서울대점,버거킹,서울 관악구 39길 44
0e6111ac-5d09-45ea-a0ba-90d65862f86d,맥도날드 가든파이브점,맥도날드,서울 송파구 30길 48
19be1825-acf6-4e3a-8c9b-9e7556b5d21e,프랭크버거 삼전역,프랭크버거,서울 송파구 63길 94
6c9dc036-3678-41fc-922e-b6bde64643b7,KFC 대림삼거리점,KFC,서울 영등포구 51로 13
1c43672a-1d3a-4de0-919c-5eb84d354837,롯데리아 강동고덕점,롯데리아,서울 강동구 60로 87
efabb4a9-24ff-4030-bac1-a3c1af89a996,맘스터치 서울대점,맘스터치,서울 관악구 13길 16
f34e8b52-492f-4b21-ba3e-2d2736dc7c17,맘스터치 중랑점,맘스터치,서울 중랑구 71로 26
90b5b401-8be9-4f9e-a2b4-c4c668a656c3,노브랜드버거 노량진2호점,노브랜드버거,서울 동작구 52로 46
c2d4ae54-03a9-4b59-9fbd-7b20994697d6,프랭크버거 동대문장안점,프랭크버거,서울 동대문구 31길 3
cfa96941-2c5a-4fa0-b25f-4d7f9f5814b1,롯데리아 가재울점,롯데리아,서울 서대문구 34로 14
16dd652b-af6f-4dbc-8cbc-b660e0847218,맥도날드 쌍문역점,맥도날드,서울 도봉구 52길 12
b0653d9d-efd6-47aa-b47f-cf33c1b69f8b,롯데리아 약수역점,롯데리아,서울 중구 87로 59
3106cfb5-6f2b-4cf8-b5e2-246112a6b6a7,프랭크버거 동덕여대점,프랭크버거,서울 성북구 65길 54
958cc99d-c844-45a1-8a76-afa5fb8f155a,맘스터치 테라스용산점,맘스터치,서울 용산구 15길 85
caa589dd-fb7a-4dc1-a3ba-ebf7b53e3a60,KFC 덕성여대점,KFC,서울 강북구 94길 34
310bd753-b370-4eea-872a-cca78df05e2e,노브랜드버거 충무로점,노브랜드버거,서울 중구 78로 89
f55f72ea-73c2-477e-8e48-5e03848f8030,프랭크버거 신림점,프랭크버거,서울 관악구 76길 30
0bf49d78-caa6-42bb-9ce7-3e25f49a0b0c,KFC 연희점,KFC,서울 서대문구 94길 19
e9e4b943-65f6-4dc2-9ca8-ef4a721c7b43,맘스터치 강남역점,맘스터치,서울 강남구 68로 41
5075430e-8ae0-4a91-aa1d-a2e561fe5f0c,버거킹 방배점,버거킹,서울 서초구 68길 84
bf1dbaac-dc86-42e1-8fac-b1c06b759381,서브웨이 대학로점,서브웨이,서울 종로구 6길 13
b4451801-2cf4-4cd1-9675-7a0625a3d9e2,맥도날드 서울대점,맥도날드,서울 관악구 16길 4
cdd00232-4044-479e-ae5d-4bbabaa1ac3a,노브랜드버거 가산그레이트밸리점,노브랜드버거,서울 금천구 94길 89
fd978265-39c0-4175-9de9-911314be0399,버거킹 문정역점,버거킹,서울 송파구 50길 74
